fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-09-05T13:18:51.000Z,178,27,NA,"Ayer le pregunté a una Ministra de la Corte Suprema, sobre las denuncias falsas, en este video, verás su respuesta.

Hoy es el segundo día de seminario, y tengo frente a mí a jueces de familia y ministros de Corte ⚖️
¿Qué les preguntarías si pudieras hablarles sin filtros? 👀🔥
Déjame tu consulta en los comentarios y las llevo directo al panel.

¿Estamos listos para hablar de verdades incómodas? 👀⚖️ 
#VerdadesIncómodas #DenunciasFalsas #CorteSuprema #JusticiaEnChile #AbogadaChilena",https://www.instagram.com/abogadachilena/reel/DOOMNuMjvDX/
2025-10-01T22:07:45.000Z,3577,435,NA,"#LeyTocornal: 9 Años de Injusticia ⚖️
💔 Murió con la condena vigente, aunque la verdad ya se sabía.
🚫 Las denuncias falsas destruyen vidas y debilitan a las verdaderas víctimas. 📢 Por eso Chile exige:
#LeyTocornal 🧨
👉 Para sancionar con fuerza la denuncia falsa.
👉 Y proteger a los inocentes y a las víctimas reales.

#LeyTocornal #FalsasDenuncias #VerdadesIncómodas #abogadachilena #obstrucciónparental #pensióndealimentos #alienaciónparental #justiciachile",https://www.instagram.com/abogadachilena/reel/DPSEVRnjgLa/
2025-07-30T17:30:10.000Z,3437,394,NA,"La obstrucción del régimen comunicacional o de visitas, es una deuda pendiente con los papás de Chile🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱 #verdadesincómodas #abogadachilena #obstrucciónparental #alienaciónparental #justiciaparatodos #denunciasfalsas #crianzarespetuosa #alienaciónparental",https://www.instagram.com/abogadachilena/reel/DMvXmP6Obri/
2025-12-25T14:11:11.000Z,59,12,NA,"Respeto para los padres que cumplen con el pago de la pensión de alimentos,
incluso cuando la interferencia les impide ver a sus hijos en Navidad. 🎄💔

#CrianzaCompartida
#ResponsabilidadParental
#DerechoAlVínculo
#VerdadesIncómodas
#NavidadConSentido 🎄",https://www.instagram.com/abogadachilena/p/DSsHanLjmeL/
2025-12-09T12:42:38.000Z,147,42,NA,"El caso de Jorge Tocornal es una herida abierta en la justicia chilena.
Un padre condenado a 10 años de cárcel, por un delito que no cometió.

¿Qué falló?
Fallaron los peritos. Falló el sistema.
Esto es obstrucción parental: manipulación emocional, presión e influencia directa en la declaración de un niño.

Cuando un niño es usado como arma en un conflicto adulto, se destruyen vidas enteras: la del padre, la del hijo y la verdad.

¿El resultado?
Un hombre preso y muerto sin justicia.
Un hijo alejado de su padre.
Y un sistema que aún se niega a revisar su propio error. 

#jorgetocornal 
#CasoTocornal #ObstrucciónParental #alienaciónparental #leyTocornal",https://www.instagram.com/abogadachilena/reel/DSCwaS8jqjV/
2025-12-02T18:06:34.000Z,82,5,NA,"Sofía tiene 9 años.
9 años esperando que el Estado la protegiera.
9 años en los que todos sabían… y nadie hizo nada.

Jueces, Oficina Local de la Niñez, OPD, DAM, PPF, Curador Ad Litem, Carabineros.
Todos están notificados.
Todos recibieron alertas,
Nadie actuó a tiempo...

Y mientras los informes describían “consumo problemático, daño emocional grave y riesgo para su integridad”,
Sofía seguía esperando.

No fue ingresada.
No fue evaluada.
Ningún seguimiento se cumplió, 

Esta historia está basada en antecedentes reales de una causa judicial vigente.
El nombre de la niña fue modificado para proteger su identidad.Sofía tiene 9 años.
9 años esperando que el Estado la protegiera.
9 años en los que todos sabían… y nadie hizo nada.

Jueces, Oficina Local de la Niñez, OPD, DAM, PPF, Curador Ad Litem, Carabineros.
Todos están notificados.
Todos recibieron alertas,
Nadie actuó a tiempo...

Y mientras los informes describían “consumo problemático, daño emocional grave y riesgo para su integridad”,
Sofía seguía esperando.

No fue ingresada.
No fue evaluada.
Ningún seguimiento se cumplió, 

Esta historia está basada en antecedentes reales de una causa judicial vigente.
El nombre de la niña fue modificado para proteger su identidad.  #VerdadesIncómodas #InfanciaOlvidada #AbogadaChilena #NiUnaSofíaMás #JusticiaParaLosNiños #DerechosDeLaInfancia #Chile",https://www.instagram.com/abogadachilena/reel/DRxT3seDqDz/
2025-12-02T14:27:49.000Z,174,19,NA,"#LeyTocornal: 9 Años de Injusticia ⚖️
💔 Murió con la condena vigente, aunque la verdad ya se sabía.
🚫 Las denuncias falsas destruyen vidas y debilitan a las verdaderas víctimas. 📢 Por eso Chile exige:
#LeyTocornal 🧨
👉 Para sancionar con fuerza la denuncia falsa.
👉 Y proteger a los inocentes y a las víctimas reales.

#LeyTocornal #FalsasDenuncias #VerdadesIncómodas #abogadachilena #obstrucciónparental #pensióndealimentos #alienaciónparental #justiciachile",https://www.instagram.com/abogadachilena/reel/DRw6_cLDrg9/
2025-09-26T18:39:11.000Z,95,11,NA,"¿Qué hacer si se ocultan bienes e ingresos en un juicio de alimentos? 

🧾 La ley permite abrir el SECRETO BANCARIO 🔍 y revisar:
💳 movimientos bancarios
💼 declaraciones tributarias SII
✈️ viajes
📱 ¡hasta lo que presume en redes sociales!

#VerdadesIncómodas #AbogadaChilena
#JusticiaChile 
#PensiónDeAlimentos #DerechoDeFamilia",https://www.instagram.com/abogadachilena/reel/DPE1zFCjup9/
2025-09-24T16:37:07.000Z,36,1,NA,"Muchas hijas cargamos con frases que NO nos pertenecen:
👉 💔 “Todos los hombres son infieles.”
👉 😔 “Mejor sola que mal acompañada.”

⚠️ Palabras dichas por tu madre desde su dolor… que terminan siendo ⛓️ cadenas invisibles que CONDICIONAN cómo pensamos, sentimos y amamos.

⚖️ Como abogada de familia, he visto generaciones de mujeres repitiendo el mismo patrón❌ 

🌱 Pero tu historia NO tiene por qué ser la de tu madre.
💪 Romper con esa manipulación emocional es un acto de justicia contigo misma y con tus hijos.

✨ No repitas heridas que no son tuyas. ✨

#VerdadesIncómodas ⚖️ #AbogadaChilena #RompeElCírculo ⭕️ #DerechoDeFamilia #ObstrucciónParental 🚫#NoMásManipulación 🚫
#ViolenciaPsicológica 💔
#alienaciónparental 
#CrianzaConsciente",https://www.instagram.com/abogadachilena/reel/DO_eRALDkSz/
2025-09-20T21:21:57.000Z,137,6,NA,"⚖️ Así empiezan muchas denuncias falsas…
✍️ Una simple declaración en Carabineros.
😱 Lo que parece un trámite menor…
⛓️ Se transforma en años de medidas cautelares injustas.
💔 El proceso se archiva… pero el daño ya está hecho.

#VerdadesIncómodas #DenunciasFalsas #DerechoDeFamilia
#JusticiaChile #InocenteHastaQueSePruebeLoContrario
#NoMásAbuso #BastaYa 🚨",https://www.instagram.com/abogadachilena/reel/DO1sNDrErZB/
